Date,Team,Location
20250710,TOR,NYC21
20250711,TOR,NYC21
20250712,TOR,NYC21
20250713,TOR,NYC21
20250718,TOR,NYC21
20250719,TOR,NYC21
20250720,TOR,NYC21
20250721,TOR,NYC21
20250722,TOR,NYC21
20250723,TOR,NYC21
20250728,TOR,NYC21
20250729,TOR,NYC21
20250730,TOR,NYC21
20250731,TOR,NYC21
20250818,TOR,BOS07
20250819,TOR,BOS07
20250820,TOR,BOS07
20250821,TOR,BOS07
20250822,TOR,BOS07
20250823,TOR,BOS07
20250824,TOR,BOS07
20250825,TOR,BOS07
20250826,TOR,TAM02
20250827,TOR,TAM02
20250828,TOR,TAM02
20250905,TOR,TAM02
20250906,TOR,TAM02
20250907,TOR,TAM02
20250912,TOR,TAM02
20250913,TOR,TAM02
20250914,TOR,TAM02
20250915,TOR,TAM02
20250916,TOR,TAM02
20250917,TOR,TAM02
20250918,TOR,TAM02
20250919,TOR,TAM02
20250920,TOR,TAM02
20250921,TOR,TAM02
20250923,TOR,TAM02
20250924,TOR,TAM02
20250925,TOR,TAM02
20250926,TOR,TAM02
20250927,TOR,TAM02
20250928,TOR,TAM02
